# Ethyl Acetate  CAS 141-78-6
# source: NIST WebBook / Sadtler Research Labs Under US-EPA Contract
# STATE=gas  YUNITS=ABSORBANCE
# NOT QUANTITATIVE: no path length or concentration given.
# Absorbance scale is arbitrary -> positions and shapes only.
wavenumber_cm-1,absorbance_arbitrary
3266.0,2.518740e-03
3270.0,1.259370e-03
3274.0,1.079460e-03
3278.0,3.598200e-04
3282.0,8.995500e-04
3286.0,2.158920e-03
3290.0,1.619190e-03
3294.0,1.799100e-03
3298.0,8.995500e-04
3302.0,1.439280e-03
3306.0,2.698650e-03
3310.0,5.397300e-04
3314.0,3.238380e-03
3318.0,2.698650e-03
3322.0,2.518740e-03
3326.0,4.497750e-03
3330.0,4.857570e-03
3334.0,3.238380e-03
3338.0,4.497750e-03
3342.0,3.418290e-03
3346.0,2.518740e-03
3350.0,3.778110e-03
3354.0,4.857570e-03
3358.0,2.698650e-03
3362.0,2.518740e-03
3366.0,3.238380e-03
3370.0,2.698650e-03
3374.0,2.338830e-03
3378.0,4.317840e-03
3382.0,3.238380e-03
3386.0,2.878560e-03
3390.0,3.418290e-03
3394.0,4.497750e-03
3398.0,1.979010e-03
3402.0,3.238380e-03
3406.0,5.217390e-03
3410.0,3.778110e-03
3414.0,3.598200e-03
3418.0,4.137930e-03
3422.0,3.598200e-03
3426.0,2.878560e-03
3430.0,3.418290e-03
3434.0,3.598200e-03
3438.0,5.217390e-03
3442.0,4.497750e-03
3446.0,4.317840e-03
3450.0,6.116940e-03
3454.0,5.037480e-03
3458.0,3.238380e-03
3462.0,3.778110e-03
3466.0,4.857570e-03
3470.0,7.016490e-03
3474.0,4.497750e-03
3478.0,5.937030e-03
3482.0,7.376310e-03
3486.0,8.455770e-03
3490.0,1.133433e-02
3494.0,1.277361e-02
3498.0,1.421289e-02
3502.0,1.817091e-02
3506.0,1.493253e-02
3510.0,1.655172e-02
3514.0,1.421289e-02
3518.0,1.439280e-02
3522.0,1.097451e-02
3526.0,8.995500e-03
3530.0,8.635680e-03
3534.0,7.376310e-03
3538.0,5.217390e-03
3542.0,3.418290e-03
3546.0,1.079460e-03
3550.0,3.958020e-03
3554.0,3.778110e-03
3558.0,1.979010e-03
3562.0,3.418290e-03
3566.0,2.698650e-03
3570.0,2.698650e-03
3574.0,2.338830e-03
3578.0,4.677660e-03
3582.0,2.518740e-03
3586.0,5.397300e-03
3590.0,5.217390e-03
3594.0,5.037480e-03
3598.0,4.137930e-03
3602.0,3.238380e-03
3606.0,3.238380e-03
3610.0,1.439280e-03
3614.0,1.619190e-03
3618.0,2.338830e-03
3622.0,2.518740e-03
3626.0,3.238380e-03
3630.0,3.598200e-03
3634.0,2.698650e-03
3638.0,1.619190e-03
3642.0,4.677660e-03
3646.0,3.778110e-03
3650.0,2.878560e-03
3654.0,2.878560e-03
3658.0,2.698650e-03
3662.0,1.619190e-03
3666.0,1.979010e-03
3670.0,2.698650e-03
3674.0,4.857570e-03
3678.0,5.757120e-03
3682.0,3.058470e-03
3686.0,1.259370e-03
3690.0,4.137930e-03
3694.0,4.857570e-03
3698.0,6.296850e-03
3702.0,8.275860e-03
3706.0,5.937030e-03
3710.0,3.598200e-03
3714.0,2.698650e-03
3718.0,1.799100e-03
3722.0,3.058470e-03
